periode_data,wilayah,kecamatan,volume_sampah,total_sampah_residu,rata_rata
202407,KOTA ADM. JAKARTA PUSAT,Menteng,769.36,766,24.71
202407,KOTA ADM. JAKARTA PUSAT,Gambir,586.34,584,18.84
202407,KOTA ADM. JAKARTA UTARA,Cilincing,946.87,932,30.06
202407,KOTA ADM. JAKARTA UTARA,Kelapa Gading,387.97,384,12.39
202407,KOTA ADM. JAKARTA UTARA,Koja,698.51,685,22.1
202407,KOTA ADM. JAKARTA UTARA,Tanjung Priok,1347.87,1075,34.68
202407,KOTA ADM. JAKARTA UTARA,Pademangan,668.5,648,20.9
202407,KOTA ADM. JAKARTA UTARA,Penjaringan,2026.85,2010,64.84
202407,KOTA ADM. JAKARTA BARAT,Kembangan,1328.65,1251,40.35
202407,KOTA ADM. JAKARTA BARAT,Palmerah,858.68,744.1,24
202407,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,1201.6,1195,38.55
202407,KOTA ADM. JAKARTA BARAT,Tambora,837.79,817,26.35
202407,KOTA ADM. JAKARTA BARAT,Grogol Petamburan,1033.27,811,26.16
202407,KOTA ADM. JAKARTA BARAT,Tamansari,792.33,763,24.61
202407,KOTA ADM. JAKARTA BARAT,Kalideres,980.04,843,27.19
202407,KOTA ADM. JAKARTA BARAT,Cengkareng,2088.04,1683,54.29
202407,KOTA ADM. JAKARTA SELATAN,Jagakarsa,5183.56,5167,166.68
202407,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,448.62,428,13.81
202407,KOTA ADM. JAKARTA SELATAN,Pancoran,317.48,274,8.84
202407,KOTA ADM. JAKARTA SELATAN,Tebet,575.7,561,18.1
202407,KOTA ADM. JAKARTA SELATAN,Setiabudi,501.34,492,15.87
202407,KOTA ADM. JAKARTA SELATAN,Mampang Prapatan,570.73,534,17.23
202407,KOTA ADM. JAKARTA SELATAN,Cilandak,776.19,668,21.55
202407,KOTA ADM. JAKARTA SELATAN,Kebayoran Baru,540.05,536,17.29
202407,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,684.32,680,21.94
202407,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,600.48,598,19.29
202407,KOTA ADM. JAKARTA TIMUR,Ciracas,522.89,396,12.77
202407,KOTA ADM. JAKARTA TIMUR,Cipayung,315.8,217,7
202407,KOTA ADM. JAKARTA TIMUR,Makasar,699.94,469,15.13
202407,KOTA ADM. JAKARTA TIMUR,Pasar Rebo,615.08,610,19.68
202407,KOTA ADM. JAKARTA TIMUR,Kramat Jati,877.08,850,27.42
202407,KOTA ADM. JAKARTA TIMUR,Jatinegara,852.61,507,16.35
202407,KOTA ADM. JAKARTA TIMUR,Matraman,379.23,368,11.87
202407,KOTA ADM. JAKARTA TIMUR,Duren Sawit,1533.48,636,20.52
202407,KOTA ADM. JAKARTA TIMUR,Pulo Gadung,752.17,748,24.13
202407,KOTA ADM. JAKARTA TIMUR,Cakung,1707.28,1570,50.65
202408,KOTA ADM. JAKARTA PUSAT,Tanah Abang,648.7,585,18.87
202408,KOTA ADM. JAKARTA PUSAT,Kemayoran,651.2,650,20.97
202408,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,491.95,491,15.84
